seconds,B_au,A_au,BB_au,AB_au,AA_au,BBB_au,ABB_au,AAB_au,AAA_au
0.000000000000000000e+00,4.693232348075796472e+04,3.562504421528620878e+04,6.308592207956574566e+04,2.293091684194953632e+04,5.707664323286689614e+04,3.050715408866896760e+05,2.550325704100838266e+04,1.428109723236535501e+03,1.788583039356834197e+05
2.009999999999999432e+01,7.948753624498547288e+04,6.529451509723996423e+04,5.311642560157929256e+04,2.896857907315620105e+04,5.309374433407085598e+04,2.486558833906409272e+05,3.554501874115571263e+04,8.625889823315836111e+03,1.594332903756810701e+05
4.019999999999998863e+01,8.341446381914532685e+04,6.737014251876396884e+04,5.087917757881832949e+04,3.805636698247280583e+04,5.535907578704796470e+04,1.936518159959569166e+05,3.349039939872827381e+04,2.384466381164376435e+04,1.334555646930086659e+05
6.029999999999999716e+01,9.351117235713882837e+04,7.465883719260754879e+04,4.361853184920724016e+04,4.088559381490288797e+04,4.834013810486075818e+04,1.573876441376197909e+05,5.038841766900859511e+04,4.578485636647216597e+04,1.154438823187280504e+05
8.039999999999999147e+01,1.039864896385753964e+05,8.359621749794167408e+04,4.031777781525012688e+04,4.849141658270425978e+04,5.014135009938014264e+04,1.301676769027601404e+05,6.603022428799797490e+04,7.156215701475652168e+04,1.029639955532713066e+05
1.004999999999999574e+02,9.937339131528999133e+04,8.200451622011435393e+04,4.399185336138230196e+04,5.749988885769262561e+04,4.909735853982111439e+04,1.258284544660575048e+05,7.522754827801369538e+04,9.422838808526901994e+04,1.037659444349669793e+05
1.205999999999999517e+02,1.044352652025043353e+05,9.086060572787364072e+04,4.285925273201125674e+04,6.155328075373293541e+04,5.097539620128548268e+04,1.084249261134756816e+05,8.553368707918627479e+04,1.050654308067784150e+05,8.818427837558051397e+04
1.406999999999999886e+02,1.096697008051212470e+05,9.310408403912809445e+04,3.555952190648964461e+04,6.107151208677312388e+04,4.516234103631891048e+04,8.625632431881631783e+04,8.475594105419534026e+04,1.073560985738788731e+05,7.605383052136933838e+04
1.607999999999999545e+02,1.090738636766090931e+05,9.523823063073551748e+04,3.519029934934159246e+04,5.863257982424274815e+04,4.318648393682338065e+04,7.748861317059540306e+04,9.570429733904260502e+04,1.229148962067737302e+05,7.145018540862451482e+04
1.808999999999999204e+02,1.149862203801437718e+05,9.982553812082362128e+04,3.681288655920424208e+04,6.499274067319012829e+04,4.138982336582060816e+04,7.507670266492264636e+04,1.018681897554962488e+05,1.359479241818100854e+05,7.076998533823588514e+04
2.009999999999999432e+02,1.163893342200590996e+05,9.802554815000665258e+04,3.401812835999987874e+04,6.565287344442255562e+04,4.561402594866005529e+04,6.595438556624467310e+04,1.009149392466229328e+05,1.350405242825361784e+05,6.375459055808959238e+04
2.210999999999999091e+02,1.046315462382902188e+05,8.723434749311933410e+04,3.370263165983445651e+04,6.289328478106854891e+04,4.403811839439750474e+04,6.783606167660425126e+04,1.126215745552426961e+05,1.467869072972896683e+05,6.348525856460026262e+04
2.411999999999999318e+02,1.260872825193252211e+05,1.060825374578575429e+05,3.478099299035923468e+04,7.276222766679454071e+04,4.967824017959353660e+04,6.065955700808198890e+04,1.035002657494841114e+05,1.416174811201156699e+05,5.963906032020963903e+04
2.612999999999998977e+02,1.142954037286347157e+05,1.008017381837871944e+05,3.621358550359784567e+04,6.674608713914947293e+04,4.212981460770824924e+04,5.656372244026255066e+04,9.955682199828462035e+04,1.403854831440403068e+05,5.751751453204765858e+04
2.813999999999999204e+02,1.055910849839274015e+05,8.932130074875376886e+04,3.624115402647506562e+04,7.224414867548535403e+04,5.032242072471840947e+04,6.473673224622266571e+04,1.131633545097684982e+05,1.546016751901944226e+05,6.004270284641288163e+04
3.014999999999999432e+02,9.800147778731939616e+04,8.141731162295231479e+04,3.663132086101399182e+04,7.498499196252066758e+04,4.880926807310042204e+04,6.149621878555726289e+04,1.083564349345546361e+05,1.531142022697980865e+05,5.955192592135901941e+04
3.215999999999999091e+02,1.164491991989557864e+05,9.982340253855944320e+04,3.825380841628621420e+04,7.823706298622151371e+04,5.042412567056619446e+04,6.049134632050194341e+04,1.148732053411514789e+05,1.514346807413462084e+05,5.544279268241078535e+04
3.416999999999999318e+02,1.026107832212878566e+05,8.850731910075178894e+04,3.868143713733566256e+04,7.582373771664533706e+04,4.937754538020126347e+04,6.168586831921793055e+04,1.181245585883972963e+05,1.648740630017509684e+05,6.457706342729371681e+04
3.617999999999998408e+02,1.061038494251892116e+05,9.341548056849559362e+04,3.455038375884154812e+04,7.329717863229619979e+04,4.781583539328690676e+04,5.939005419908249314e+04,1.083835277889591234e+05,1.379299754080337007e+05,5.048497362124548090e+04
3.818999999999998636e+02,1.158042146747111547e+05,1.003552231095942843e+05,3.594805418406459648e+04,7.526236900682057603e+04,4.621035685637073038e+04,5.745974675828274485e+04,1.054148376833754737e+05,1.454756525588522200e+05,5.215737985524903343e+04
4.019999999999998863e+02,1.106592975919789751e+05,9.204002755343880563e+04,3.769992422567080939e+04,7.698161666343110846e+04,5.237442345846789976e+04,6.091176537967275362e+04,1.114777058023364516e+05,1.587284821937250090e+05,5.560140411426573701e+04
4.220999999999998522e+02,1.340344379992133763e+05,1.151757598860996513e+05,3.823921452161093475e+04,8.005725598200103559e+04,4.982558936610173259e+04,5.787168414230892085e+04,1.133082641543443751e+05,1.608635853931632882e+05,5.491366619831372373e+04
4.421999999999998749e+02,1.072216778165266442e+05,8.927891938930658216e+04,3.483597609859857039e+04,7.480709798627001874e+04,4.833615681225212029e+04,5.830556831733064610e+04,1.178831686640035914e+05,1.579060579472370155e+05,5.624753559926594608e+04
4.622999999999997840e+02,1.133592594383828255e+05,9.666539746296881640e+04,3.749343223170097917e+04,7.572506791281122423e+04,4.530064098081683915e+04,5.998964061800573108e+04,1.219427827057599061e+05,1.544989851077286294e+05,5.262655546640697867e+04
4.823999999999998067e+02,1.148073111170374323e+05,9.092160669160071120e+04,3.521616705072232435e+04,8.067856424349379085e+04,4.770098807540277630e+04,5.939842215568522079e+04,1.272464947074375377e+05,1.697221510788790183e+05,6.156107481786904100e+04
5.024999999999998295e+02,1.009707368717013160e+05,8.394022849060702720e+04,3.832408507839839149e+04,7.809973158371476165e+04,4.758895137339736539e+04,5.755429703303783026e+04,1.161525236006404593e+05,1.511482970070500742e+05,4.752832164618928073e+04
5.225999999999997954e+02,9.979981327368902566e+04,8.465255484368787438e+04,3.452241246214448620e+04,7.521753752266822266e+04,4.329006135203556187e+04,5.238038153703052376e+04,1.116475498074133066e+05,1.502803856818324712e+05,5.262425131895535742e+04
5.426999999999997044e+02,9.169748172693447850e+04,7.646613685902365251e+04,3.307035924236222490e+04,6.880857172240443469e+04,4.256314878800623410e+04,5.582623445582784916e+04,1.161065685334683221e+05,1.494576315949073469e+05,5.015228682331660093e+04
5.627999999999997272e+02,9.429127019556355663e+04,7.853180622085477808e+04,3.663350915945342422e+04,7.352235929551091976e+04,4.995972126049124927e+04,5.549795146914550423e+04,8.831942258442354796e+04,1.354880513399328920e+05,4.923825717111572158e+04
